shade_00s_70s,phosphorous_p1-p4,c3_c4,species_code,usda_code,block,rep,individual,id_v0,id_v0_noncat,id_barcode_v0,,
70s,p3,c3,diac,diac2,3,3,183,70s-p3-c3-diac-3-183,70s-p3-c3-diac-3-183,*70s-p3-c3-diac-3-183*,,*
70s,p3,c3,diol,diol,3,3,184,70s-p3-c3-diol-3-184,70s-p3-c3-diol-3-184,*70s-p3-c3-diol-3-184*,,*
70s,p4,c4,pavi,pavi2,3,3,185,70s-p4-c4-pavi-3-185,70s-p4-c4-pavi-3-185,*70s-p4-c4-pavi-3-185*,,*
70s,p4,c4,paha,paha,3,3,186,70s-p4-c4-paha-3-186,70s-p4-c4-paha-3-186,*70s-p4-c4-paha-3-186*,,*
70s,p4,c4,paan,paan4,3,3,187,70s-p4-c4-paan-3-187,70s-p4-c4-paan-3-187,*70s-p4-c4-paan-3-187*,,*
70s,p4,c4,paco,paco2,3,3,188,70s-p4-c4-paco-3-188,70s-p4-c4-paco-3-188,*70s-p4-c4-paco-3-188*,,*
70s,p4,c3,dicl,dicl,3,3,189,70s-p4-c3-dicl-3-189,70s-p4-c3-dicl-3-189,*70s-p4-c3-dicl-3-189*,,*
70s,p4,c3,patr,patr3,3,3,190,70s-p4-c3-patr-3-190,70s-p4-c3-patr-3-190,*70s-p4-c3-patr-3-190*,,*
70s,p4,c3,diac,diac2,3,3,191,70s-p4-c3-diac-3-191,70s-p4-c3-diac-3-191,*70s-p4-c3-diac-3-191*,,*
70s,p4,c3,diol,diol,3,3,192,70s-p4-c3-diol-3-192,70s-p4-c3-diol-3-192,*70s-p4-c3-diol-3-192*,,*
00s,p1,c4,pavi,pavi2,4,4,193,00s-p1-c4-pavi-4-193,00s-p1-c4-pavi-4-193,*00s-p1-c4-pavi-4-193*,,*
00s,p1,c4,paha,paha,4,4,194,00s-p1-c4-paha-4-194,00s-p1-c4-paha-4-194,*00s-p1-c4-paha-4-194*,,*
00s,p1,c4,paan,paan4,4,4,195,00s-p1-c4-paan-4-195,00s-p1-c4-paan-4-195,*00s-p1-c4-paan-4-195*,,*
00s,p1,c4,paco,paco2,4,4,196,00s-p1-c4-paco-4-196,00s-p1-c4-paco-4-196,*00s-p1-c4-paco-4-196*,,*
00s,p1,c3,dicl,dicl,4,4,197,00s-p1-c3-dicl-4-197,00s-p1-c3-dicl-4-197,*00s-p1-c3-dicl-4-197*,,*
00s,p1,c3,patr,patr3,4,4,198,00s-p1-c3-patr-4-198,00s-p1-c3-patr-4-198,*00s-p1-c3-patr-4-198*,,*
00s,p1,c3,diac,diac2,4,4,199,00s-p1-c3-diac-4-199,00s-p1-c3-diac-4-199,*00s-p1-c3-diac-4-199*,,*
00s,p1,c3,diol,diol,4,4,200,00s-p1-c3-diol-4-200,00s-p1-c3-diol-4-200,*00s-p1-c3-diol-4-200*,,*
00s,p2,c4,pavi,pavi2,4,4,201,00s-p2-c4-pavi-4-201,00s-p2-c4-pavi-4-201,*00s-p2-c4-pavi-4-201*,,*
00s,p2,c4,paha,paha,4,4,202,00s-p2-c4-paha-4-202,00s-p2-c4-paha-4-202,*00s-p2-c4-paha-4-202*,,*
00s,p2,c4,paan,paan4,4,4,203,00s-p2-c4-paan-4-203,00s-p2-c4-paan-4-203,*00s-p2-c4-paan-4-203*,,*
00s,p2,c4,paco,paco2,4,4,204,00s-p2-c4-paco-4-204,00s-p2-c4-paco-4-204,*00s-p2-c4-paco-4-204*,,*
00s,p2,c3,dicl,dicl,4,4,205,00s-p2-c3-dicl-4-205,00s-p2-c3-dicl-4-205,*00s-p2-c3-dicl-4-205*,,*
00s,p2,c3,patr,patr3,4,4,206,00s-p2-c3-patr-4-206,00s-p2-c3-patr-4-206,*00s-p2-c3-patr-4-206*,,*
00s,p2,c3,diac,diac2,4,4,207,00s-p2-c3-diac-4-207,00s-p2-c3-diac-4-207,*00s-p2-c3-diac-4-207*,,*
00s,p2,c3,diol,diol,4,4,208,00s-p2-c3-diol-4-208,00s-p2-c3-diol-4-208,*00s-p2-c3-diol-4-208*,,*
00s,p3,c4,pavi,pavi2,4,4,209,00s-p3-c4-pavi-4-209,00s-p3-c4-pavi-4-209,*00s-p3-c4-pavi-4-209*,,*
00s,p3,c4,paha,paha,4,4,210,00s-p3-c4-paha-4-210,00s-p3-c4-paha-4-210,*00s-p3-c4-paha-4-210*,,*
00s,p3,c4,paan,paan4,4,4,211,00s-p3-c4-paan-4-211,00s-p3-c4-paan-4-211,*00s-p3-c4-paan-4-211*,,*
00s,p3,c4,paco,paco2,4,4,212,00s-p3-c4-paco-4-212,00s-p3-c4-paco-4-212,*00s-p3-c4-paco-4-212*,,*
00s,p3,c3,dicl,dicl,4,4,213,00s-p3-c3-dicl-4-213,00s-p3-c3-dicl-4-213,*00s-p3-c3-dicl-4-213*,,*
00s,p3,c3,patr,patr3,4,4,214,00s-p3-c3-patr-4-214,00s-p3-c3-patr-4-214,*00s-p3-c3-patr-4-214*,,*
00s,p3,c3,diac,diac2,4,4,215,00s-p3-c3-diac-4-215,00s-p3-c3-diac-4-215,*00s-p3-c3-diac-4-215*,,*
00s,p3,c3,diol,diol,4,4,216,00s-p3-c3-diol-4-216,00s-p3-c3-diol-4-216,*00s-p3-c3-diol-4-216*,,*
00s,p4,c4,pavi,pavi2,4,4,217,00s-p4-c4-pavi-4-217,00s-p4-c4-pavi-4-217,*00s-p4-c4-pavi-4-217*,,*
00s,p4,c4,paha,paha,4,4,218,00s-p4-c4-paha-4-218,00s-p4-c4-paha-4-218,*00s-p4-c4-paha-4-218*,,*
00s,p4,c4,paan,paan4,4,4,219,00s-p4-c4-paan-4-219,00s-p4-c4-paan-4-219,*00s-p4-c4-paan-4-219*,,*
00s,p4,c4,paco,paco2,4,4,220,00s-p4-c4-paco-4-220,00s-p4-c4-paco-4-220,*00s-p4-c4-paco-4-220*,,*
00s,p4,c3,dicl,dicl,4,4,221,00s-p4-c3-dicl-4-221,00s-p4-c3-dicl-4-221,*00s-p4-c3-dicl-4-221*,,*
00s,p4,c3,patr,patr3,4,4,222,00s-p4-c3-patr-4-222,00s-p4-c3-patr-4-222,*00s-p4-c3-patr-4-222*,,*
00s,p4,c3,diac,diac2,4,4,223,00s-p4-c3-diac-4-223,00s-p4-c3-diac-4-223,*00s-p4-c3-diac-4-223*,,*
00s,p4,c3,diol,diol,4,4,224,00s-p4-c3-diol-4-224,00s-p4-c3-diol-4-224,*00s-p4-c3-diol-4-224*,,*
70s,p1,c4,pavi,pavi2,4,4,225,70s-p1-c4-pavi-4-225,70s-p1-c4-pavi-4-225,*70s-p1-c4-pavi-4-225*,,*
70s,p1,c4,paha,paha,4,4,226,70s-p1-c4-paha-4-226,70s-p1-c4-paha-4-226,*70s-p1-c4-paha-4-226*,,*
70s,p1,c4,paan,paan4,4,4,227,70s-p1-c4-paan-4-227,70s-p1-c4-paan-4-227,*70s-p1-c4-paan-4-227*,,*
70s,p1,c4,paco,paco2,4,4,228,70s-p1-c4-paco-4-228,70s-p1-c4-paco-4-228,*70s-p1-c4-paco-4-228*,,*
70s,p1,c3,dicl,dicl,4,4,229,70s-p1-c3-dicl-4-229,70s-p1-c3-dicl-4-229,*70s-p1-c3-dicl-4-229*,,*
70s,p1,c3,patr,patr3,4,4,230,70s-p1-c3-patr-4-230,70s-p1-c3-patr-4-230,*70s-p1-c3-patr-4-230*,,*
70s,p1,c3,diac,diac2,4,4,231,70s-p1-c3-diac-4-231,70s-p1-c3-diac-4-231,*70s-p1-c3-diac-4-231*,,*
70s,p1,c3,diol,diol,4,4,232,70s-p1-c3-diol-4-232,70s-p1-c3-diol-4-232,*70s-p1-c3-diol-4-232*,,*
70s,p2,c4,pavi,pavi2,4,4,233,70s-p2-c4-pavi-4-233,70s-p2-c4-pavi-4-233,*70s-p2-c4-pavi-4-233*,,*
70s,p2,c4,paha,paha,4,4,234,70s-p2-c4-paha-4-234,70s-p2-c4-paha-4-234,*70s-p2-c4-paha-4-234*,,*
70s,p2,c4,paan,paan4,4,4,235,70s-p2-c4-paan-4-235,70s-p2-c4-paan-4-235,*70s-p2-c4-paan-4-235*,,*
70s,p2,c4,paco,paco2,4,4,236,70s-p2-c4-paco-4-236,70s-p2-c4-paco-4-236,*70s-p2-c4-paco-4-236*,,*
70s,p2,c3,dicl,dicl,4,4,237,70s-p2-c3-dicl-4-237,70s-p2-c3-dicl-4-237,*70s-p2-c3-dicl-4-237*,,*
70s,p2,c3,patr,patr3,4,4,238,70s-p2-c3-patr-4-238,70s-p2-c3-patr-4-238,*70s-p2-c3-patr-4-238*,,*
70s,p2,c3,diac,diac2,4,4,239,70s-p2-c3-diac-4-239,70s-p2-c3-diac-4-239,*70s-p2-c3-diac-4-239*,,*
70s,p2,c3,diol,diol,4,4,240,70s-p2-c3-diol-4-240,70s-p2-c3-diol-4-240,*70s-p2-c3-diol-4-240*,,*
70s,p3,c4,pavi,pavi2,4,4,241,70s-p3-c4-pavi-4-241,70s-p3-c4-pavi-4-241,*70s-p3-c4-pavi-4-241*,,*
70s,p3,c4,paha,paha,4,4,242,70s-p3-c4-paha-4-242,70s-p3-c4-paha-4-242,*70s-p3-c4-paha-4-242*,,*
70s,p3,c4,paan,paan4,4,4,243,70s-p3-c4-paan-4-243,70s-p3-c4-paan-4-243,*70s-p3-c4-paan-4-243*,,*
70s,p3,c4,paco,paco2,4,4,244,70s-p3-c4-paco-4-244,70s-p3-c4-paco-4-244,*70s-p3-c4-paco-4-244*,,*
70s,p3,c3,dicl,dicl,4,4,245,70s-p3-c3-dicl-4-245,70s-p3-c3-dicl-4-245,*70s-p3-c3-dicl-4-245*,,*
70s,p3,c3,patr,patr3,4,4,246,70s-p3-c3-patr-4-246,70s-p3-c3-patr-4-246,*70s-p3-c3-patr-4-246*,,*
70s,p3,c3,diac,diac2,4,4,247,70s-p3-c3-diac-4-247,70s-p3-c3-diac-4-247,*70s-p3-c3-diac-4-247*,,*
70s,p3,c3,diol,diol,4,4,248,70s-p3-c3-diol-4-248,70s-p3-c3-diol-4-248,*70s-p3-c3-diol-4-248*,,*
70s,p4,c4,pavi,pavi2,4,4,249,70s-p4-c4-pavi-4-249,70s-p4-c4-pavi-4-249,*70s-p4-c4-pavi-4-249*,,*
70s,p4,c4,paha,paha,4,4,250,70s-p4-c4-paha-4-250,70s-p4-c4-paha-4-250,*70s-p4-c4-paha-4-250*,,*
70s,p4,c4,paan,paan4,4,4,251,70s-p4-c4-paan-4-251,70s-p4-c4-paan-4-251,*70s-p4-c4-paan-4-251*,,*
70s,p4,c4,paco,paco2,4,4,252,70s-p4-c4-paco-4-252,70s-p4-c4-paco-4-252,*70s-p4-c4-paco-4-252*,,*
70s,p4,c3,dicl,dicl,4,4,253,70s-p4-c3-dicl-4-253,70s-p4-c3-dicl-4-253,*70s-p4-c3-dicl-4-253*,,*
70s,p4,c3,patr,patr3,4,4,254,70s-p4-c3-patr-4-254,70s-p4-c3-patr-4-254,*70s-p4-c3-patr-4-254*,,*
70s,p4,c3,diac,diac2,4,4,255,70s-p4-c3-diac-4-255,70s-p4-c3-diac-4-255,*70s-p4-c3-diac-4-255*,,*
70s,p4,c3,diol,diol,4,4,256,70s-p4-c3-diol-4-256,70s-p4-c3-diol-4-256,*70s-p4-c3-diol-4-256*,,*
00s,p1,c4,pavi,pavi2,5,5,257,00s-p1-c4-pavi-5-257,00s-p1-c4-pavi-5-257,*00s-p1-c4-pavi-5-257*,,*
00s,p1,c4,paha,paha,5,5,258,00s-p1-c4-paha-5-258,00s-p1-c4-paha-5-258,*00s-p1-c4-paha-5-258*,,*
00s,p1,c4,paan,paan4,5,5,259,00s-p1-c4-paan-5-259,00s-p1-c4-paan-5-259,*00s-p1-c4-paan-5-259*,,*
00s,p1,c4,paco,paco2,5,5,260,00s-p1-c4-paco-5-260,00s-p1-c4-paco-5-260,*00s-p1-c4-paco-5-260*,,*
00s,p1,c3,dicl,dicl,5,5,261,00s-p1-c3-dicl-5-261,00s-p1-c3-dicl-5-261,*00s-p1-c3-dicl-5-261*,,*
00s,p1,c3,patr,patr3,5,5,262,00s-p1-c3-patr-5-262,00s-p1-c3-patr-5-262,*00s-p1-c3-patr-5-262*,,*
00s,p1,c3,diac,diac2,5,5,263,00s-p1-c3-diac-5-263,00s-p1-c3-diac-5-263,*00s-p1-c3-diac-5-263*,,*
00s,p1,c3,diol,diol,5,5,264,00s-p1-c3-diol-5-264,00s-p1-c3-diol-5-264,*00s-p1-c3-diol-5-264*,,*
00s,p2,c4,pavi,pavi2,5,5,265,00s-p2-c4-pavi-5-265,00s-p2-c4-pavi-5-265,*00s-p2-c4-pavi-5-265*,,*
00s,p2,c4,paha,paha,5,5,266,00s-p2-c4-paha-5-266,00s-p2-c4-paha-5-266,*00s-p2-c4-paha-5-266*,,*
00s,p2,c4,paan,paan4,5,5,267,00s-p2-c4-paan-5-267,00s-p2-c4-paan-5-267,*00s-p2-c4-paan-5-267*,,*
00s,p2,c4,paco,paco2,5,5,268,00s-p2-c4-paco-5-268,00s-p2-c4-paco-5-268,*00s-p2-c4-paco-5-268*,,*
00s,p2,c3,dicl,dicl,5,5,269,00s-p2-c3-dicl-5-269,00s-p2-c3-dicl-5-269,*00s-p2-c3-dicl-5-269*,,*
00s,p2,c3,patr,patr3,5,5,270,00s-p2-c3-patr-5-270,00s-p2-c3-patr-5-270,*00s-p2-c3-patr-5-270*,,*
00s,p2,c3,diac,diac2,5,5,271,00s-p2-c3-diac-5-271,00s-p2-c3-diac-5-271,*00s-p2-c3-diac-5-271*,,*
00s,p2,c3,diol,diol,5,5,272,00s-p2-c3-diol-5-272,00s-p2-c3-diol-5-272,*00s-p2-c3-diol-5-272*,,*
00s,p3,c4,pavi,pavi2,5,5,273,00s-p3-c4-pavi-5-273,00s-p3-c4-pavi-5-273,*00s-p3-c4-pavi-5-273*,,*
00s,p3,c4,paha,paha,5,5,274,00s-p3-c4-paha-5-274,00s-p3-c4-paha-5-274,*00s-p3-c4-paha-5-274*,,*
00s,p3,c4,paan,paan4,5,5,275,00s-p3-c4-paan-5-275,00s-p3-c4-paan-5-275,*00s-p3-c4-paan-5-275*,,*
00s,p3,c4,paco,paco2,5,5,276,00s-p3-c4-paco-5-276,00s-p3-c4-paco-5-276,*00s-p3-c4-paco-5-276*,,*
00s,p3,c3,dicl,dicl,5,5,277,00s-p3-c3-dicl-5-277,00s-p3-c3-dicl-5-277,*00s-p3-c3-dicl-5-277*,,*
00s,p3,c3,patr,patr3,5,5,278,00s-p3-c3-patr-5-278,00s-p3-c3-patr-5-278,*00s-p3-c3-patr-5-278*,,*
00s,p3,c3,diac,diac2,5,5,279,00s-p3-c3-diac-5-279,00s-p3-c3-diac-5-279,*00s-p3-c3-diac-5-279*,,*
00s,p3,c3,diol,diol,5,5,280,00s-p3-c3-diol-5-280,00s-p3-c3-diol-5-280,*00s-p3-c3-diol-5-280*,,*
00s,p4,c4,pavi,pavi2,5,5,281,00s-p4-c4-pavi-5-281,00s-p4-c4-pavi-5-281,*00s-p4-c4-pavi-5-281*,,*
00s,p4,c4,paha,paha,5,5,282,00s-p4-c4-paha-5-282,00s-p4-c4-paha-5-282,*00s-p4-c4-paha-5-282*,,*
00s,p4,c4,paan,paan4,5,5,283,00s-p4-c4-paan-5-283,00s-p4-c4-paan-5-283,*00s-p4-c4-paan-5-283*,,*
00s,p4,c4,paco,paco2,5,5,284,00s-p4-c4-paco-5-284,00s-p4-c4-paco-5-284,*00s-p4-c4-paco-5-284*,,*
00s,p4,c3,dicl,dicl,5,5,285,00s-p4-c3-dicl-5-285,00s-p4-c3-dicl-5-285,*00s-p4-c3-dicl-5-285*,,*
00s,p4,c3,patr,patr3,5,5,286,00s-p4-c3-patr-5-286,00s-p4-c3-patr-5-286,*00s-p4-c3-patr-5-286*,,*
00s,p4,c3,diac,diac2,5,5,287,00s-p4-c3-diac-5-287,00s-p4-c3-diac-5-287,*00s-p4-c3-diac-5-287*,,*
00s,p4,c3,diol,diol,5,5,288,00s-p4-c3-diol-5-288,00s-p4-c3-diol-5-288,*00s-p4-c3-diol-5-288*,,*
70s,p1,c4,pavi,pavi2,5,5,289,70s-p1-c4-pavi-5-289,70s-p1-c4-pavi-5-289,*70s-p1-c4-pavi-5-289*,,*
70s,p1,c4,paha,paha,5,5,290,70s-p1-c4-paha-5-290,70s-p1-c4-paha-5-290,*70s-p1-c4-paha-5-290*,,*
70s,p1,c4,paan,paan4,5,5,291,70s-p1-c4-paan-5-291,70s-p1-c4-paan-5-291,*70s-p1-c4-paan-5-291*,,*
70s,p1,c4,paco,paco2,5,5,292,70s-p1-c4-paco-5-292,70s-p1-c4-paco-5-292,*70s-p1-c4-paco-5-292*,,*
70s,p1,c3,dicl,dicl,5,5,293,70s-p1-c3-dicl-5-293,70s-p1-c3-dicl-5-293,*70s-p1-c3-dicl-5-293*,,*
70s,p1,c3,patr,patr3,5,5,294,70s-p1-c3-patr-5-294,70s-p1-c3-patr-5-294,*70s-p1-c3-patr-5-294*,,*
70s,p1,c3,diac,diac2,5,5,295,70s-p1-c3-diac-5-295,70s-p1-c3-diac-5-295,*70s-p1-c3-diac-5-295*,,*
70s,p1,c3,diol,diol,5,5,296,70s-p1-c3-diol-5-296,70s-p1-c3-diol-5-296,*70s-p1-c3-diol-5-296*,,*
70s,p2,c4,pavi,pavi2,5,5,297,70s-p2-c4-pavi-5-297,70s-p2-c4-pavi-5-297,*70s-p2-c4-pavi-5-297*,,*
70s,p2,c4,paha,paha,5,5,298,70s-p2-c4-paha-5-298,70s-p2-c4-paha-5-298,*70s-p2-c4-paha-5-298*,,*
70s,p2,c4,paan,paan4,5,5,299,70s-p2-c4-paan-5-299,70s-p2-c4-paan-5-299,*70s-p2-c4-paan-5-299*,,*
70s,p2,c4,paco,paco2,5,5,300,70s-p2-c4-paco-5-300,70s-p2-c4-paco-5-300,*70s-p2-c4-paco-5-300*,,*
70s,p2,c3,dicl,dicl,5,5,301,70s-p2-c3-dicl-5-301,70s-p2-c3-dicl-5-301,*70s-p2-c3-dicl-5-301*,,*
70s,p2,c3,patr,patr3,5,5,302,70s-p2-c3-patr-5-302,70s-p2-c3-patr-5-302,*70s-p2-c3-patr-5-302*,,*
70s,p2,c3,diac,diac2,5,5,303,70s-p2-c3-diac-5-303,70s-p2-c3-diac-5-303,*70s-p2-c3-diac-5-303*,,*
70s,p2,c3,diol,diol,5,5,304,70s-p2-c3-diol-5-304,70s-p2-c3-diol-5-304,*70s-p2-c3-diol-5-304*,,*
70s,p3,c4,pavi,pavi2,5,5,305,70s-p3-c4-pavi-5-305,70s-p3-c4-pavi-5-305,*70s-p3-c4-pavi-5-305*,,*
70s,p3,c4,paha,paha,5,5,306,70s-p3-c4-paha-5-306,70s-p3-c4-paha-5-306,*70s-p3-c4-paha-5-306*,,*
70s,p3,c4,paan,paan4,5,5,307,70s-p3-c4-paan-5-307,70s-p3-c4-paan-5-307,*70s-p3-c4-paan-5-307*,,*
70s,p3,c4,paco,paco2,5,5,308,70s-p3-c4-paco-5-308,70s-p3-c4-paco-5-308,*70s-p3-c4-paco-5-308*,,*
70s,p3,c3,dicl,dicl,5,5,309,70s-p3-c3-dicl-5-309,70s-p3-c3-dicl-5-309,*70s-p3-c3-dicl-5-309*,,*
70s,p3,c3,patr,patr3,5,5,310,70s-p3-c3-patr-5-310,70s-p3-c3-patr-5-310,*70s-p3-c3-patr-5-310*,,*
70s,p3,c3,diac,diac2,5,5,311,70s-p3-c3-diac-5-311,70s-p3-c3-diac-5-311,*70s-p3-c3-diac-5-311*,,*
70s,p3,c3,diol,diol,5,5,312,70s-p3-c3-diol-5-312,70s-p3-c3-diol-5-312,*70s-p3-c3-diol-5-312*,,*
70s,p4,c4,pavi,pavi2,5,5,313,70s-p4-c4-pavi-5-313,70s-p4-c4-pavi-5-313,*70s-p4-c4-pavi-5-313*,,*
70s,p4,c4,paha,paha,5,5,314,70s-p4-c4-paha-5-314,70s-p4-c4-paha-5-314,*70s-p4-c4-paha-5-314*,,*
70s,p4,c4,paan,paan4,5,5,315,70s-p4-c4-paan-5-315,70s-p4-c4-paan-5-315,*70s-p4-c4-paan-5-315*,,*
70s,p4,c4,paco,paco2,5,5,316,70s-p4-c4-paco-5-316,70s-p4-c4-paco-5-316,*70s-p4-c4-paco-5-316*,,*
70s,p4,c3,dicl,dicl,5,5,317,70s-p4-c3-dicl-5-317,70s-p4-c3-dicl-5-317,*70s-p4-c3-dicl-5-317*,,*
70s,p4,c3,patr,patr3,5,5,318,70s-p4-c3-patr-5-318,70s-p4-c3-patr-5-318,*70s-p4-c3-patr-5-318*,,*
70s,p4,c3,diac,diac2,5,5,319,70s-p4-c3-diac-5-319,70s-p4-c3-diac-5-319,*70s-p4-c3-diac-5-319*,,*
70s,p4,c3,diol,diol,5,5,320,70s-p4-c3-diol-5-320,70s-p4-c3-diol-5-320,*70s-p4-c3-diol-5-320*,,*
00s,p1,c4,pavi,pavi2,6,6,321,00s-p1-c4-pavi-6-321,00s-p1-c4-pavi-6-321,*00s-p1-c4-pavi-6-321*,,*
00s,p1,c4,paha,paha,6,6,322,00s-p1-c4-paha-6-322,00s-p1-c4-paha-6-322,*00s-p1-c4-paha-6-322*,,*
00s,p1,c4,paan,paan4,6,6,323,00s-p1-c4-paan-6-323,00s-p1-c4-paan-6-323,*00s-p1-c4-paan-6-323*,,*
00s,p1,c4,paco,paco2,6,6,324,00s-p1-c4-paco-6-324,00s-p1-c4-paco-6-324,*00s-p1-c4-paco-6-324*,,*
00s,p1,c3,dicl,dicl,6,6,325,00s-p1-c3-dicl-6-325,00s-p1-c3-dicl-6-325,*00s-p1-c3-dicl-6-325*,,*
00s,p1,c3,patr,patr3,6,6,326,00s-p1-c3-patr-6-326,00s-p1-c3-patr-6-326,*00s-p1-c3-patr-6-326*,,*
00s,p1,c3,diac,diac2,6,6,327,00s-p1-c3-diac-6-327,00s-p1-c3-diac-6-327,*00s-p1-c3-diac-6-327*,,*
00s,p1,c3,diol,diol,6,6,328,00s-p1-c3-diol-6-328,00s-p1-c3-diol-6-328,*00s-p1-c3-diol-6-328*,,*
00s,p2,c4,pavi,pavi2,6,6,329,00s-p2-c4-pavi-6-329,00s-p2-c4-pavi-6-329,*00s-p2-c4-pavi-6-329*,,*
00s,p2,c4,paha,paha,6,6,330,00s-p2-c4-paha-6-330,00s-p2-c4-paha-6-330,*00s-p2-c4-paha-6-330*,,*
00s,p2,c4,paan,paan4,6,6,331,00s-p2-c4-paan-6-331,00s-p2-c4-paan-6-331,*00s-p2-c4-paan-6-331*,,*
00s,p2,c4,paco,paco2,6,6,332,00s-p2-c4-paco-6-332,00s-p2-c4-paco-6-332,*00s-p2-c4-paco-6-332*,,*
00s,p2,c3,dicl,dicl,6,6,333,00s-p2-c3-dicl-6-333,00s-p2-c3-dicl-6-333,*00s-p2-c3-dicl-6-333*,,*
00s,p2,c3,patr,patr3,6,6,334,00s-p2-c3-patr-6-334,00s-p2-c3-patr-6-334,*00s-p2-c3-patr-6-334*,,*
00s,p2,c3,diac,diac2,6,6,335,00s-p2-c3-diac-6-335,00s-p2-c3-diac-6-335,*00s-p2-c3-diac-6-335*,,*
00s,p2,c3,diol,diol,6,6,336,00s-p2-c3-diol-6-336,00s-p2-c3-diol-6-336,*00s-p2-c3-diol-6-336*,,*
00s,p3,c4,pavi,pavi2,6,6,337,00s-p3-c4-pavi-6-337,00s-p3-c4-pavi-6-337,*00s-p3-c4-pavi-6-337*,,*
00s,p3,c4,paha,paha,6,6,338,00s-p3-c4-paha-6-338,00s-p3-c4-paha-6-338,*00s-p3-c4-paha-6-338*,,*
00s,p3,c4,paan,paan4,6,6,339,00s-p3-c4-paan-6-339,00s-p3-c4-paan-6-339,*00s-p3-c4-paan-6-339*,,*
00s,p3,c4,paco,paco2,6,6,340,00s-p3-c4-paco-6-340,00s-p3-c4-paco-6-340,*00s-p3-c4-paco-6-340*,,*
00s,p3,c3,dicl,dicl,6,6,341,00s-p3-c3-dicl-6-341,00s-p3-c3-dicl-6-341,*00s-p3-c3-dicl-6-341*,,*
00s,p3,c3,patr,patr3,6,6,342,00s-p3-c3-patr-6-342,00s-p3-c3-patr-6-342,*00s-p3-c3-patr-6-342*,,*
00s,p3,c3,diac,diac2,6,6,343,00s-p3-c3-diac-6-343,00s-p3-c3-diac-6-343,*00s-p3-c3-diac-6-343*,,*
00s,p3,c3,diol,diol,6,6,344,00s-p3-c3-diol-6-344,00s-p3-c3-diol-6-344,*00s-p3-c3-diol-6-344*,,*
00s,p4,c4,pavi,pavi2,6,6,345,00s-p4-c4-pavi-6-345,00s-p4-c4-pavi-6-345,*00s-p4-c4-pavi-6-345*,,*
00s,p4,c4,paha,paha,6,6,346,00s-p4-c4-paha-6-346,00s-p4-c4-paha-6-346,*00s-p4-c4-paha-6-346*,,*
00s,p4,c4,paan,paan4,6,6,347,00s-p4-c4-paan-6-347,00s-p4-c4-paan-6-347,*00s-p4-c4-paan-6-347*,,*
00s,p4,c4,paco,paco2,6,6,348,00s-p4-c4-paco-6-348,00s-p4-c4-paco-6-348,*00s-p4-c4-paco-6-348*,,*
00s,p4,c3,dicl,dicl,6,6,349,00s-p4-c3-dicl-6-349,00s-p4-c3-dicl-6-349,*00s-p4-c3-dicl-6-349*,,*
00s,p4,c3,patr,patr3,6,6,350,00s-p4-c3-patr-6-350,00s-p4-c3-patr-6-350,*00s-p4-c3-patr-6-350*,,*
00s,p4,c3,diac,diac2,6,6,351,00s-p4-c3-diac-6-351,00s-p4-c3-diac-6-351,*00s-p4-c3-diac-6-351*,,*
00s,p4,c3,diol,diol,6,6,352,00s-p4-c3-diol-6-352,00s-p4-c3-diol-6-352,*00s-p4-c3-diol-6-352*,,*
70s,p1,c4,pavi,pavi2,6,6,353,70s-p1-c4-pavi-6-353,70s-p1-c4-pavi-6-353,*70s-p1-c4-pavi-6-353*,,*
70s,p1,c4,paha,paha,6,6,354,70s-p1-c4-paha-6-354,70s-p1-c4-paha-6-354,*70s-p1-c4-paha-6-354*,,*
70s,p1,c4,paan,paan4,6,6,355,70s-p1-c4-paan-6-355,70s-p1-c4-paan-6-355,*70s-p1-c4-paan-6-355*,,*
70s,p1,c4,paco,paco2,6,6,356,70s-p1-c4-paco-6-356,70s-p1-c4-paco-6-356,*70s-p1-c4-paco-6-356*,,*
70s,p1,c3,dicl,dicl,6,6,357,70s-p1-c3-dicl-6-357,70s-p1-c3-dicl-6-357,*70s-p1-c3-dicl-6-357*,,*
70s,p1,c3,patr,patr3,6,6,358,70s-p1-c3-patr-6-358,70s-p1-c3-patr-6-358,*70s-p1-c3-patr-6-358*,,*
70s,p1,c3,diac,diac2,6,6,359,70s-p1-c3-diac-6-359,70s-p1-c3-diac-6-359,*70s-p1-c3-diac-6-359*,,*
70s,p1,c3,diol,diol,6,6,360,70s-p1-c3-diol-6-360,70s-p1-c3-diol-6-360,*70s-p1-c3-diol-6-360*,,*
70s,p2,c4,pavi,pavi2,6,6,361,70s-p2-c4-pavi-6-361,70s-p2-c4-pavi-6-361,*70s-p2-c4-pavi-6-361*,,*
70s,p2,c4,paha,paha,6,6,362,70s-p2-c4-paha-6-362,70s-p2-c4-paha-6-362,*70s-p2-c4-paha-6-362*,,*
70s,p2,c4,paan,paan4,6,6,363,70s-p2-c4-paan-6-363,70s-p2-c4-paan-6-363,*70s-p2-c4-paan-6-363*,,*
70s,p2,c4,paco,paco2,6,6,364,70s-p2-c4-paco-6-364,70s-p2-c4-paco-6-364,*70s-p2-c4-paco-6-364*,,*
70s,p2,c3,dicl,dicl,6,6,365,70s-p2-c3-dicl-6-365,70s-p2-c3-dicl-6-365,*70s-p2-c3-dicl-6-365*,,*
